ORIGIN,DEST,DISTANCE,CRS_ELAPSED_TIME
BNA,ATL,214.0,73.40084809179346
BNA,AUS,756.0,132.74607703281026
BNA,BOS,942.0,146.16462093862816
BNA,BWI,587.0,99.91379310344827
BNA,CHS,439.0,80.27415143603133
BNA,CLE,448.0,81.81044267877412
BNA,CLT,328.0,84.10705741626795
BNA,CMH,337.0,70.73082489146165
BNA,CVG,230.0,71.22834645669292
BNA,DAL,623.0,111.7953488372093
BNA,DCA,562.0,93.88201712654615
BNA,DEN,1014.0,174.64006719865603
BNA,DFW,631.0,125.02668169860955
BNA,DTW,456.0,99.09878542510121
BNA,ECP,401.0,76.40113798008535
BNA,EWR,748.0,134.70171821305843
BNA,FLL,793.0,131.4927866362946
BNA,HOU,670.0,127.0475113122172
BNA,IAH,657.0,135.47171197648788
BNA,JAX,483.0,84.98963730569949
BNA,LAS,1587.0,241.7219298245614
BNA,LAX,1797.0,273.9050144648023
BNA,LGA,764.0,129.88981762917933
BNA,MCI,491.0,96.41919606234619
BNA,MCO,616.0,105.81327260897854
BNA,MDW,395.0,87.40707964601769
BNA,MIA,806.0,132.5463917525773
BNA,MSP,695.0,139.268416596105
BNA,MSY,471.0,90.39497307001795
BNA,OAK,1959.0,288.7950138504155
BNA,ORD,409.0,107.76031081888823
BNA,PHL,675.0,115.24368686868686
BNA,PHX,1449.0,226.60969696969698
BNA,PIT,462.0,81.84573002754821
BNA,PNS,391.0,75.84770114942529
BNA,RDU,442.0,83.0587668593449
BNA,RSW,722.0,119.91803278688525
BNA,SAN,1751.0,257.5542168674699
BNA,SAT,822.0,143.15868263473052
BNA,SEA,1978.0,293.6850258175559
BNA,SFO,1969.0,307.6473029045643
BNA,SLC,1404.0,230.9784946236559
BNA,STL,272.0,65.76246334310851
BNA,TPA,612.0,102.52763448784083
BOI,DEN,649.0,111.75
BOI,DFW,1272.0,195.90821256038646
BOI,GEG,287.0,62.5594294770206
BOI,IAH,1482.0,212.16763005780348
BOI,LAS,519.0,100.44817927170868
BOI,LAX,674.0,139.31096563011457
BOI,MDW,1448.0,195.08333333333334
BOI,MSP,1142.0,166.68814432989691
BOI,OAK,512.0,101.31504922644163
BOI,ORD,1437.0,210.56349206349208
BOI,PDX,344.0,82.13383838383838
BOI,PHX,735.0,121.77379830348728
BOI,SAN,749.0,134.84615384615384
BOI,SEA,399.0,94.90478402229448
BOI,SFO,522.0,112.92053445850914
BOI,SJC,523.0,90.0
BOI,SLC,290.0,71.00429184549357
BOI,SMF,437.0,91.97068403908794
BOS,ACK,91.0,48.74556213017752
BOS,ACY,274.0,75.04081632653062
BOS,ATL,946.0,177.9727903579255
BOS,AUS,1698.0,274.0554054054054
BOS,BNA,942.0,172.72805755395683
BOS,BUF,395.0,90.47532656023222
BOS,BWI,369.0,93.32410924217761
BOS,CHS,818.0,147.27180527383368
BOS,CLE,563.0,124.68500948766604
BOS,CLT,728.0,146.7436111111111
BOS,CMH,640.0,138.3515625
BOS,CVG,752.0,151.5159420289855
BOS,DAL,1554.0,255.625
BOS,DCA,399.0,98.72329180822952
BOS,DEN,1754.0,283.25431034482756
BOS,DFW,1562.0,260.6458644371454
BOS,DTW,632.0,136.43604060913705
BOS,EWR,200.0,87.59448394742512
BOS,FLL,1237.0,205.37764350453173
BOS,HOU,1609.0,266.4266277939747
BOS,IAD,413.0,101.11612903225806
BOS,IAH,1597.0,260.2607879924953
BOS,IND,818.0,158.79846153846154
BOS,JAX,1010.0,173.31857142857143
BOS,JFK,187.0,80.70251884537599
BOS,LAS,2381.0,357.33249581239534
BOS,LAX,2611.0,389.9635565312843
BOS,LGA,184.0,80.47206477732793
BOS,LGB,2602.0,383.4646464646465
BOS,MCI,1256.0,216.172131147541
BOS,MCO,1121.0,192.833531510107
BOS,MDW,861.0,165.80817610062894
BOS,MIA,1258.0,214.15064620355412
BOS,MKE,860.0,161.49068322981367
BOS,MSN,932.0,150.0
BOS,MSP,1124.0,200.51656222023277
BOS,MSY,1368.0,223.72124756335282
BOS,MVY,70.0,49.9
BOS,MYR,738.0,130.2225352112676
BOS,OAK,2694.0,398.5531914893617
BOS,ORD,867.0,172.79049676025917
BOS,PBI,1197.0,196.8336252189142
BOS,PDX,2537.0,380.7211895910781
BOS,PHL,280.0,95.1605983074198
BOS,PHX,2300.0,352.2496551724138
BOS,PIT,496.0,108.29340409401061
BOS,RDU,612.0,122.35959715639811
BOS,RIC,474.0,108.31216457960645
BOS,RSW,1249.0,213.01822784810128
BOS,SAN,2588.0,385.59108910891086
BOS,SAV,901.0,157.17438692098094
BOS,SEA,2496.0,378.79234972677597
BOS,SFO,2704.0,400.002500568311
BOS,SJC,2689.0,394.20444444444445
BOS,SJU,1674.0,237.29076790336498
BOS,SLC,2105.0,332.41821743388834
BOS,SMF,2636.0,390.21666666666664
BOS,SRQ,1220.0,207.89655172413794
BOS,STL,1047.0,189.74598930481284
BOS,STT,1693.0,239.92857142857142
BOS,TPA,1185.0,199.198606271777
BPT,DFW,270.0,75.35483870967742
BQK,ATL,238.0,72.58811681772407
BQN,EWR,1585.0,237.23809523809524
BQN,FLL,982.0,153.54315789473685
BQN,JFK,1576.0,230.29006085192697
BQN,MCO,1129.0,171.62278978388997
BRD,MSP,114.0,51.85668789808917
BRO,DFW,482.0,102.84705882352941
BRO,IAH,308.0,78.94706308919507
BRW,ANC,725.0,109.89244851258582
BRW,FAI,503.0,79.96096096096096
BRW,SCC,204.0,43.325
BTM,SLC,358.0,81.10762331838565
BTR,ATL,448.0,94.78850574712644
BTR,DCA,985.0,155.0
BTR,DFW,383.0,91.77520377520378
BTR,IAH,253.0,75.92673992673993
BTR,JAN,138.0,49.0
BTV,ATL,961.0,173.74149659863946
BTV,DTW,537.0,127.35751295336787
BTV,EWR,266.0,83.44063926940639
BTV,JFK,266.0,82.02690972222223
BTV,LGA,258.0,83.703125
BTV,ORD,763.0,150.79866518353725
BUF,ATL,712.0,133.71052631578948
BUF,BOS,395.0,79.19057971014493
BUF,BWI,281.0,72.70606531881803
BUF,CLT,546.0,117.30613961312027
BUF,DEN,1359.0,230.0
BUF,DTW,241.0,76.66887417218543
BUF,EWR,282.0,85.44436090225564
BUF,FLL,1166.0,185.83561643835617
BUF,JFK,301.0,83.90117934119561
BUF,LAS,1986.0,293.68595041322317
BUF,LAX,2217.0,327.7005347593583
BUF,LGA,292.0,88.96288209606988
BUF,MCO,1011.0,161.15556938394525
BUF,MDW,468.0,105.67288801571709
BUF,MSP,735.0,134.1492537313433
BUF,ORD,474.0,112.19775070290534
BUF,PHL,279.0,85.125
BUF,PHX,1912.0,290.939226519337
BUF,RSW,1144.0,181.58227848101265
BUF,TPA,1053.0,167.77589134125637
BUR,DAL,1243.0,175.6280193236715
BUR,DEN,850.0,139.60382916053018
BUR,JFK,2465.0,316.2953216374269
BUR,LAS,223.0,59.89671931956258
BUR,OAK,325.0,70.85133418043202
BUR,PDX,817.0,135.48648648648648
BUR,PHX,369.0,80.75266731328807
BUR,SEA,937.0,151.92876965772433
BUR,SFO,326.0,83.57983761840325
BUR,SJC,296.0,65.01307189542484
BUR,SLC,574.0,115.2540650406504
BUR,SMF,358.0,73.62227074235808
BWI,ABQ,1670.0,256.7857142857143
BWI,ALB,289.0,71.11436170212765
BWI,ATL,577.0,119.05654034229829
BWI,AUS,1342.0,216.70337738619676
BWI,BDL,283.0,69.96715927750411
BWI,BHM,682.0,127.80839895013123
BWI,BNA,587.0,115.46006066734074
BWI,BOS,369.0,82.88191411935954
BWI,BUF,281.0,68.1572097865695
BWI,CHS,472.0,98.36898395721926
BWI,CLE,314.0,73.7257495590829
BWI,CLT,361.0,90.95207870517297
BWI,CMH,337.0,80.25229357798165
BWI,CVG,430.0,104.22222222222223
BWI,DAL,1209.0,198.13053097345133
BWI,DAY,406.0,91.73684210526316
BWI,DEN,1491.0,242.38303341902315
BWI,DFW,1217.0,206.9975369458128
BWI,DTW,409.0,95.33621549717326
BWI,ECP,798.0,136.4375
BWI,EWR,169.0,72.82722513089006
BWI,FLL,925.0,156.50019794140934
BWI,FNT,452.0,96.84971098265896
BWI,GRR,528.0,104.0668202764977
BWI,GSP,426.0,93.23170731707317
BWI,HOU,1246.0,208.06423611111111
BWI,IAH,1235.0,205.2979797979798
BWI,IND,516.0,106.96280991735537
BWI,ISP,220.0,64.19354838709677
BWI,JAX,663.0,122.0546218487395
BWI,LAS,2106.0,314.0820668693009
BWI,LAX,2329.0,344.2851890756302
BWI,LIT,912.0,165.0
BWI,MCI,967.0,168.86848341232226
BWI,MCO,787.0,141.39687342410488
BWI,MDW,611.0,122.8997668997669
BWI,MEM,787.0,142.4390243902439
BWI,MHT,377.0,80.52790044158972
BWI,MIA,946.0,164.23479188900748
BWI,MKE,641.0,121.75747863247864
BWI,MSP,936.0,162.85007649158592
BWI,MSY,998.0,171.70971074380165
BWI,MYR,399.0,80.92056074766356
BWI,OAK,2447.0,356.3448275862069
BWI,OKC,1180.0,194.88472622478386
BWI,ORD,622.0,130.62277951933123
BWI,ORF,159.0,52.83364958886781
BWI,PBI,883.0,152.06947162426616
BWI,PDX,2358.0,335.655737704918
BWI,PHL,90.0,63.0
BWI,PHX,1999.0,306.2342857142857
BWI,PIT,210.0,59.8418024928092
BWI,PVD,327.0,72.78571428571429
BWI,PWM,452.0,85.59947871416159
BWI,RDU,255.0,68.22085889570552
BWI,ROC,277.0,70.5958055290753
BWI,RSW,919.0,160.82332155477033
BWI,SAN,2295.0,335.60991105463785
BWI,SAT,1407.0,224.36802973977694
BWI,SDF,495.0,105.79298831385643
BWI,SEA,2335.0,348.66129032258067
BWI,SFO,2457.0,360.86728395061726
BWI,SJC,2439.0,365.3636363636364
BWI,SJU,1565.0,244.92331288343559
BWI,SLC,1865.0,287.7441424554827
BWI,SMF,2395.0,348.62068965517244
BWI,STL,738.0,134.28625954198472
BWI,TPA,842.0,147.5435410647957
BZN,ATL,1640.0,228.4318181818182
BZN,DEN,524.0,102.31073943661971
BZN,EWR,1882.0,251.03333333333333
BZN,IAH,1385.0,196.72727272727272
BZN,LAX,902.0,162.8658536585366
BZN,LGA,1894.0,258.875
BZN,MSP,874.0,139.42387332521315
BZN,ORD,1186.0,179.81333333333333
BZN,PDX,554.0,102.82352941176471
BZN,SEA,543.0,113.29333333333334
BZN,SFO,807.0,152.8009708737864
BZN,SLC,347.0,79.65060240963855
CAE,ATL,192.0,69.84650509308044
CAE,DFW,922.0,184.51396648044692
CAE,IAH,878.0,165.40727272727273
CAE,LGA,617.0,121.49872773536896
CAE,ORD,666.0,134.74743024963288
CAK,ATL,528.0,109.38811630847029
CAK,DTW,133.0,63.17886178861789
CAK,EWR,382.0,92.29050279329608
CAK,FLL,1026.0,167.62745098039215
CAK,LAS,1846.0,299.15
CAK,MCO,861.0,144.96336996336996
CAK,ORD,343.0,91.37016129032259
CAK,RSW,991.0,153.46808510638297
CAK,TPA,894.0,144.38888888888889
CAK,TYS,378.0,87.0
CDC,SLC,221.0,61.072
CDV,ANC,160.0,45.42433234421365
CDV,YAK,213.0,45.85498489425982
CHA,ATL,106.0,55.59906976744186
CHA,DFW,695.0,139.78765432098766
CHA,DTW,505.0,112.90316573556797
CHA,EWR,718.0,123.25339366515837
CHA,ORD,501.0,111.84862385321101
CHO,ATL,457.0,101.0
CHO,LGA,305.0,82.67293233082707
CHO,ORD,566.0,122.6812749003984
CHS,ATL,259.0,79.7064558629776
CHS,BNA,439.0,88.99739583333333
CHS,BOS,818.0,131.08906882591094
CHS,BWI,472.0,88.81100266193434
CHS,CLE,595.0,134.9
CHS,CLT,168.0,70.1297071129707
CHS,DAL,977.0,171.43790849673204
